                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4144,                 4.3092,                  4.074,                0.00122,                0.08321,                0.00091,                0.00027,                 3.4439,                 4.8938,                 3.9543,             0.00023727,             0.00023727,             0.00023727
                      2,                 2.8829,                 3.6934,                 3.3039,                0.00354,                 0.1521,                0.00393,                0.00124,                 2.8866,                 4.8916,                 3.4835,             0.00046586,             0.00046586,             0.00046586
                      3,                 2.1613,                  3.198,                 2.5844,                0.51754,                0.02719,                0.01053,                0.00303,                 2.6597,                 4.5248,                 3.1183,             0.00068502,             0.00068502,             0.00068502
                      4,                   1.89,                 2.9747,                 2.3152,                0.42346,                0.06065,                0.01859,                0.00587,                 2.6062,                 4.3609,                 3.0722,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.7637,                 2.8583,                  2.192,                0.46297,                0.06916,                0.03204,                0.00924,                 2.5898,                 3.8873,                 3.0195,             0.00067159,             0.00067159,             0.00067159
                      6,                  1.703,                 2.7602,                 2.1133,                0.37069,                0.06011,                0.03287,                0.01106,                 2.4883,                 3.7747,                 2.9067,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.6566,                 2.6902,                 2.0535,                0.24678,                0.10655,                0.05244,                0.01476,                 2.4639,                 3.7165,                 2.8654,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.6041,                 2.6379,                 2.0029,                0.22825,                 0.1285,                0.07241,                0.02227,                 2.4379,                 3.6763,                 2.7854,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.5829,                 2.5725,                 1.9677,                0.30857,                0.13544,                0.09199,                0.03361,                 2.3985,                 3.4096,                 2.7362,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.5695,                 2.5395,                 1.9396,                0.32974,                0.17208,                0.12307,                0.04239,                 2.3004,                 3.4192,                 2.6651,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.5396,                 2.4927,                 1.9073,                0.34592,                0.18905,                0.14988,                0.05088,                 2.3274,                 3.1627,                 2.6573,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.5155,                 2.4452,                 1.8835,                0.44377,                0.18355,                0.17697,                0.06191,                 2.3207,                 3.1086,                 2.6266,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.5079,                 2.4091,                 1.8607,                0.40115,                0.20243,                0.18013,                0.06263,                 2.3398,                 2.9893,                 2.6528,             0.00055849,             0.00055849,             0.00055849
