                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2152,                 1.5245,                 1.4944,                0.73619,                0.52637,                0.57807,                0.28692,                 1.8206,                 1.5286,                 2.0305,             0.00023764,             0.00023764,             0.00023764
                      2,                 1.2284,                 1.5426,                 1.5057,                0.73308,                 0.5041,                0.56415,                 0.2845,                 1.8433,                 1.5541,                 2.0164,             0.00046623,             0.00046623,             0.00046623
                      3,                 1.2416,                 1.5877,                 1.5147,                0.64536,                0.50669,                0.53702,                0.27523,                  1.812,                 1.6528,                 2.0063,             0.00068538,             0.00068538,             0.00068538
                      4,                 1.2595,                 1.6096,                 1.5222,                 0.7078,                0.48777,                0.55487,                0.26392,                 1.8581,                 1.6723,                   2.08,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.2481,                 1.5983,                 1.5227,                0.77202,                 0.4943,                0.56737,                0.27821,                 1.7947,                 1.6007,                 1.9884,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.2567,                 1.6014,                 1.5243,                0.76735,                0.50713,                 0.5607,                0.25814,                 1.9379,                 1.6264,                 2.1318,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.2443,                 1.5822,                 1.5085,                0.77585,                0.48835,                0.57196,                0.27558,                 1.8927,                 1.5785,                 2.0471,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.2493,                 1.5852,                 1.5091,                0.74344,                0.52922,                 0.5861,                0.28799,                 1.8632,                 1.5807,                 2.0004,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.2494,                 1.5983,                 1.5131,                0.74051,                0.54724,                 0.5998,                0.29243,                 1.8248,                 1.6016,                 2.0123,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.2382,                 1.5462,                 1.5045,                0.74085,                0.50249,                0.57377,                0.26976,                 1.8729,                 1.5275,                 2.0224,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.2316,                 1.5591,                 1.4982,                0.77674,                0.50051,                0.58541,                0.27627,                 1.8657,                 1.5726,                 2.0448,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.2241,                 1.5406,                  1.494,                0.78776,                0.53825,                0.60321,                0.30447,                 1.8207,                 1.4787,                 2.0127,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.2318,                 1.5306,                 1.4959,                0.74156,                0.51566,                0.58465,                0.27862,                 1.8474,                 1.5485,                 2.0112,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.2194,                 1.5309,                 1.4916,                0.75322,                0.53258,                0.58524,                0.27661,                 1.8641,                 1.5682,                 2.0299,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.2163,                 1.5043,                 1.4809,                0.73685,                0.51193,                0.57193,                0.28123,                 1.8379,                 1.5796,                 2.0071,             0.00053022,             0.00053022,             0.00053022
                     16,                  1.209,                 1.4961,                  1.481,                0.78583,                0.52735,                0.60413,                0.29518,                 1.8359,                  1.513,                 2.0214,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.2152,                 1.4951,                 1.4746,                0.74982,                0.52845,                0.59455,                0.28085,                 1.8275,                 1.4896,                 1.9956,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.1995,                 1.4685,                 1.4753,                0.80825,                0.52115,                0.60713,                0.29402,                 1.8427,                 1.4861,                 2.0088,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.1952,                 1.4739,                 1.4704,                0.70431,                0.55227,                0.60401,                0.29391,                 1.8206,                  1.455,                 1.9948,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.1971,                 1.4715,                 1.4638,                0.79121,                 0.5326,                0.58638,                0.29447,                 1.7966,                 1.5004,                  1.968,             0.00045953,             0.00045953,             0.00045953
                     21,                  1.203,                 1.4704,                 1.4683,                0.69035,                0.54207,                0.59749,                0.28991,                 1.8599,                 1.4628,                 2.0203,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.1931,                 1.4474,                 1.4592,                0.72971,                0.54641,                0.59931,                0.30567,                 1.7849,                 1.4382,                 1.9495,             0.00043126,             0.00043126,             0.00043126
                     23,                  1.195,                 1.4523,                 1.4589,                0.78527,                0.55376,                0.62388,                0.31356,                 1.7801,                 1.4144,                 1.9467,             0.00041712,             0.00041712,             0.00041712
                     24,                  1.189,                 1.4529,                 1.4637,                0.74525,                0.56354,                0.61015,                0.30584,                 1.8028,                 1.4041,                 1.9865,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.1805,                 1.4326,                 1.4483,                0.78888,                0.55736,                0.62314,                0.30521,                 1.8269,                 1.4322,                 1.9649,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.1791,                 1.4193,                 1.4491,                0.76892,                0.54932,                0.61889,                0.29813,                 1.8171,                 1.4499,                 1.9754,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.1678,                 1.4157,                 1.4456,                0.73848,                0.54253,                0.60647,                0.29757,                 1.7609,                 1.4083,                 1.9287,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.1733,                 1.4072,                 1.4468,                0.74819,                0.55063,                0.60727,                 0.3028,                 1.7705,                 1.4511,                 1.9283,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.1631,                 1.3892,                 1.4406,                0.74864,                0.58832,                0.62663,                 0.3148,                 1.7764,                 1.3648,                 1.9432,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.1581,                 1.3892,                 1.4364,                0.78141,                0.55964,                0.62624,                 0.3147,                 1.7833,                 1.3603,                 1.9485,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.1508,                 1.3649,                 1.4273,                0.78755,                0.54667,                0.61847,                0.32454,                 1.7241,                 1.4033,                 1.8945,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.1478,                 1.3645,                 1.4232,                0.73394,                0.56209,                0.62098,                0.31669,                 1.7175,                 1.3798,                 1.9064,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.1473,                 1.3684,                 1.4267,                0.82567,                0.55114,                0.63704,                0.32919,                 1.7327,                   1.34,                 1.9217,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.1507,                 1.3504,                 1.4294,                0.79485,                0.57341,                0.63779,                0.33345,                 1.6961,                 1.3323,                 1.8733,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.1583,                 1.3577,                 1.4239,                0.76313,                0.58387,                0.63629,                0.31771,                 1.7558,                 1.3605,                 1.9152,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.1499,                 1.3561,                 1.4284,                0.80647,                0.57798,                0.64413,                0.33399,                  1.728,                 1.3132,                 1.8939,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.1379,                 1.3259,                 1.4171,                 0.8194,                0.58555,                0.64318,                  0.332,                 1.7181,                 1.3132,                 1.8841,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.1377,                  1.337,                 1.4151,                0.77559,                0.57161,                0.64372,                0.32825,                 1.7045,                 1.3181,                 1.8855,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.1233,                 1.3082,                  1.409,                0.76439,                0.59078,                0.64266,                0.33947,                 1.6953,                 1.3221,                 1.8797,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.1347,                 1.2999,                 1.4109,                0.79788,                0.55901,                0.63507,                 0.3263,                 1.7461,                 1.3155,                  1.904,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.1392,                 1.1893,                 1.4143,                0.79296,                0.58049,                 0.6494,                0.33628,                 1.7043,                 1.3119,                 1.8629,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.1363,                 1.1702,                 1.4074,                0.80162,                0.58578,                0.64946,                0.33502,                 1.7128,                 1.3388,                 1.8861,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.1245,                  1.145,                 1.3975,                0.80061,                0.59656,                0.65444,                 0.3371,                 1.7052,                  1.296,                  1.876,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.1199,                 1.1434,                 1.3998,                0.79725,                0.60116,                0.65478,                0.34634,                 1.6873,                 1.2961,                 1.8626,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.1184,                 1.1356,                  1.395,                  0.799,                0.58934,                0.65189,                0.34215,                 1.6907,                 1.2957,                 1.8607,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.1141,                  1.119,                 1.3934,                0.81785,                0.58716,                0.65978,                0.34812,                 1.6766,                 1.2733,                 1.8481,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                  1.109,                 1.1111,                 1.3888,                0.84217,                0.57779,                0.65987,                0.34669,                 1.6873,                 1.2786,                 1.8562,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.1121,                 1.1146,                  1.389,                0.85293,                0.58189,                0.66212,                0.35019,                 1.6802,                 1.2764,                  1.851,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.0931,                  1.092,                 1.3747,                0.82544,                0.58454,                0.65831,                0.34242,                 1.7154,                 1.2721,                   1.88,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.1002,                 1.1056,                 1.3831,                0.85198,                0.58186,                0.66645,                0.34793,                 1.6878,                 1.2637,                 1.8502,             3.5414e-05,             3.5414e-05,             3.5414e-05
